# Substack Subscriptions - Extracted 2026-01-25
# Format: feed_url | name | homepage

https://fchollet.substack.com/feed | Sparks in the Wind | https://fchollet.substack.com
https://blog.spec.tech/feed | Spectech Newsletter | https://blog.spec.tech
https://annadallara.substack.com/feed | Speculative | https://annadallara.substack.com
https://www.strangepilgrims.com/feed | Strange Pilgrims | https://www.strangepilgrims.com
https://supernuclear.substack.com/feed | Supernuclear | https://supernuclear.substack.com
https://thesisdriven.substack.com/feed | Thesis Driven | https://thesisdriven.substack.com
https://thinkgirlinstitute.substack.com/feed | Thinkgirl's Substack | https://thinkgirlinstitute.substack.com
https://jdahl.substack.com/feed | Thoughts + Things from Jackson Dahl | https://jdahl.substack.com
https://writing.antonleicht.me/feed | Threading the Needle | https://writing.antonleicht.me
https://sub.thursdai.news/feed | ThursdAI | https://sub.thursdai.news
https://www.tracingwoodgrains.com/feed | Tracing Woodgrains | https://www.tracingwoodgrains.com
https://www.transformernews.ai/feed | Transformer | https://www.transformernews.ai
https://unchartedterritories.tomaspueyo.com/feed | Uncharted Territories | https://unchartedterritories.tomaspueyo.com
https://www.understandingai.org/feed | Understanding AI | https://www.understandingai.org
https://untangled.substack.com/feed | Untangled with Charley Johnson | https://untangled.substack.com
https://benjaminschneider.substack.com/feed | The Urban Condition | https://benjaminschneider.substack.com
https://usefulfictions.substack.com/feed | Useful Fictions | https://usefulfictions.substack.com
https://velvetnoise.substack.com/feed | velvet noise | https://velvetnoise.substack.com
https://williamrsaunders.substack.com/feed | William's Substack | https://williamrsaunders.substack.com
https://worktopia.substack.com/feed | Working Assumptions | https://worktopia.substack.com
https://www.worksinprogress.news/feed | The Works in Progress Newsletter | https://www.worksinprogress.news
https://worldspiritsockpuppet.substack.com/feed | world spirit sock stack | https://worldspiritsockpuppet.substack.com
https://www.edwest.co.uk/feed | Wrong Side of History | https://www.edwest.co.uk
https://audreyhorne.substack.com/feed | X's Audrey Horne | https://audreyhorne.substack.com
https://writing.yaschamounk.com/feed | Yascha Mounk | https://writing.yaschamounk.com
https://rawandferal.substack.com/feed | raw and feral | https://rawandferal.substack.com
